Node,Species,Stage,Feature,Start_R,End_R,Order
9,Ascaris suum,L2/3,NR,0,1,Ascaridida
9,Ascaris suum,L2/3,EP,1,2,Ascaridida
9,Ascaris suum,L2/3,EC,2,3,Ascaridida
9,Ascaris suum,L2/3,I,3,4,Ascaridida
9,Ascaris suum,AF,NR,660,1200,Ascaridida
9,Ascaris suum,AF,EP,590,1330,Ascaridida
9,Ascaris suum,AF,V,8100,8800,Ascaridida
9,Ascaris suum,AF,I,6600,7600,Ascaridida
4,Acanthocheilonema odendhali,AF,EP,461,596,Spirurida
4,Acanthocheilonema odendhali,AF,I,968,1436,Spirurida
4,Acanthocheilonema odendhali,AF,NR,234,335,Spirurida
4,Acanthocheilonema odendhali,AF,V,918,1439,Spirurida
4,Acanthocheilonema odendhali,mf,EP,1,2,Spirurida
4,Acanthocheilonema odendhali,mf,NR,0,1,Spirurida
9,Anisakis simplex,AF,EP,90,100,Ascaridida
9,Anisakis simplex,AF,I,2200,2400,Ascaridida
9,Anisakis simplex,AF,NR,270,370,Ascaridida
9,Anisakis simplex,AF,V,12500,13500,Ascaridida
9,Anisakis simplex,L2/3,EP,0,1,Ascaridida
9,Anisakis simplex,L2/3,G,4,5,Ascaridida
9,Anisakis simplex,L2/3,I,3,4,Ascaridida
9,Anisakis simplex,L2/3,NR,1,2,Ascaridida
9,Ascaris lumbricoides,L2/3,EC,2,3,Ascaridida
9,Ascaris lumbricoides,L2/3,EP,1,2,Ascaridida
9,Ascaris lumbricoides,L2/3,G,4,5,Ascaridida
9,Ascaris lumbricoides,L2/3,I,3,4,Ascaridida
9,Ascaris lumbricoides,L2/3,NR,0,1,Ascaridida
0,Brugia malayi,AF,I,713,1060,Spirurida
0,Brugia malayi,AF,NR,209,209,Spirurida
0,Brugia malayi,AF,V,440,950,Spirurida
0,Brugia malayi,L2/3,EC,2,3,Spirurida
0,Brugia malayi,L2/3,G,3,4,Spirurida
0,Brugia malayi,L2/3,I,4,5,Spirurida
0,Brugia malayi,L2/3,NR,0,1,Spirurida
0,Brugia malayi,mf,EC,2,3,Spirurida
0,Brugia malayi,mf,EP,1,2,Spirurida
0,Brugia malayi,mf,G,4,5,Spirurida
0,Brugia malayi,mf,I,3,4,Spirurida
0,Brugia malayi,mf,NR,0,1,Spirurida
1,Brugia pahangi,AF,I,1040,1140,Spirurida
1,Brugia pahangi,AF,NR,165,183,Spirurida
1,Brugia pahangi,AF,V,478,585,Spirurida
1,Brugia pahangi,L2/3,EC,2,3,Spirurida
1,Brugia pahangi,L2/3,G,3,4,Spirurida
1,Brugia pahangi,L2/3,I,4,5,Spirurida
1,Brugia pahangi,L2/3,NR,0,1,Spirurida
1,Brugia pahangi,mf,EC,2,3,Spirurida
1,Brugia pahangi,mf,EP,1,2,Spirurida
1,Brugia pahangi,mf,G,4,5,Spirurida
1,Brugia pahangi,mf,I,3,4,Spirurida
1,Brugia pahangi,mf,NR,0,1,Spirurida
0,Brugia timori,AF,I,897,1185,Spirurida
0,Brugia timori,AF,NR,173,255,Spirurida
0,Brugia timori,AF,V,560,1050,Spirurida
0,Brugia timori,mf,EC,2,3,Spirurida
0,Brugia timori,mf,EP,1,2,Spirurida
0,Brugia timori,mf,G,4,5,Spirurida
0,Brugia timori,mf,I,3,4,Spirurida
0,Brugia timori,mf,NR,0,1,Spirurida
5,Dirofilaria immitis,AF,I,1200,1500,Spirurida
5,Dirofilaria immitis,AF,V,2200,2500,Spirurida
5,Dirofilaria immitis,L2/3,EP,1,2,Spirurida
5,Dirofilaria immitis,L2/3,G,3,4,Spirurida
5,Dirofilaria immitis,L2/3,I,4,5,Spirurida
5,Dirofilaria immitis,L2/3,NR,0,1,Spirurida
5,Dirofilaria immitis,mf,EC,2,3,Spirurida
5,Dirofilaria immitis,mf,EP,1,2,Spirurida
5,Dirofilaria immitis,mf,G,4,5,Spirurida
5,Dirofilaria immitis,mf,I,3,4,Spirurida
5,Dirofilaria immitis,mf,NR,0,1,Spirurida
8,Dracunculus globacephalus,AF,EP,1972,2244,Spirurida
8,Dracunculus globacephalus,AF,I,31498,32232,Spirurida
8,Dracunculus globacephalus,AF,NR,1550,2162,Spirurida
8,Dracunculus globacephalus,AF,V,48362,65824,Spirurida
8,Dracunculus lutrae,AF,EP,1060,1260,Spirurida
8,Dracunculus lutrae,AF,I,28000,37000,Spirurida
8,Dracunculus lutrae,AF,NR,800,990,Spirurida
8,Dracunculus lutrae,AF,V,97000,152000,Spirurida
8,Dracunculus lutrae,mf,EP,1,2,Spirurida
8,Dracunculus lutrae,mf,G,4,5,Spirurida
8,Dracunculus lutrae,mf,I,3,4,Spirurida
8,Dracunculus lutrae,mf,NR,0,1,Spirurida
4,Elaeophora schneideri,AF,I,2215,3300,Spirurida
4,Elaeophora schneideri,AF,NR,296,325,Spirurida
4,Elaeophora schneideri,AF,V,1480,2050,Spirurida
4,Elaeophora schneideri,L2/3,EC,2,3,Spirurida
4,Elaeophora schneideri,L2/3,EP,1,2,Spirurida
4,Elaeophora schneideri,L2/3,G,4,5,Spirurida
4,Elaeophora schneideri,L2/3,I,3,4,Spirurida
4,Elaeophora schneideri,L2/3,NR,0,1,Spirurida
4,Elaeophora schneideri,mf,EC,2,3,Spirurida
4,Elaeophora schneideri,mf,EP,1,2,Spirurida
4,Elaeophora schneideri,mf,I,3,4,Spirurida
4,Elaeophora schneideri,mf,NR,0,1,Spirurida
10,Enterobius anthropopitheci,AF,EP,423,779,Oxyurida
10,Enterobius anthropopitheci,AF,I,653,743,Oxyurida
10,Enterobius anthropopitheci,AF,NR,140,147,Oxyurida
10,Enterobius anthropopitheci,AF,V,710,1320,Oxyurida
10,Enterobius vermicularis,AF,EP,1750,1750,Oxyurida
10,Enterobius vermicularis,AF,I,1000,1000,Oxyurida
10,Enterobius vermicularis,AF,NR,210,210,Oxyurida
10,Enterobius vermicularis,AF,V,3050,3050,Oxyurida
10,Enterobius vermicularis,L2/3,EC,2,3,Oxyurida
10,Enterobius vermicularis,L2/3,EP,0,1,Oxyurida
10,Enterobius vermicularis,L2/3,G,4,5,Oxyurida
10,Enterobius vermicularis,L2/3,I,3,4,Oxyurida
10,Enterobius vermicularis,L2/3,NR,1,2,Oxyurida
7,Gongylonema pulchrum,AF,EP,571,790,Spirurida
