Sex,Worm,Distance,Gray_Value,Annotation
Male,0329_e3,0,0,
Male,0329_e3,0.325,0,
Male,0329_e3,0.65,0,
Male,0329_e3,0.975,0,
Male,0329_e3,1.3,0,
Male,0329_e3,1.625,0,
Male,0329_e3,1.95,0,
Male,0329_e3,2.275,0,
Male,0329_e3,2.6,0,
Male,0329_e3,2.925,0,
Male,0329_e3,3.25,0,
Male,0329_e3,3.575,0,
Male,0329_e3,3.9,0,
Male,0329_e3,4.225,0,
Male,0329_e3,4.55,0,
Male,0329_e3,4.875,0,
Male,0329_e3,5.2,0,
Male,0329_e3,5.525,0,
Male,0329_e3,5.85,0,
Male,0329_e3,6.175,0,
Male,0329_e3,6.5,0,
Male,0329_e3,6.825,0,
Male,0329_e3,7.15,0,
Male,0329_e3,7.475,0,
Male,0329_e3,7.8,0,
Male,0329_e3,8.125,0,
Male,0329_e3,8.45,0,
Male,0329_e3,8.775,0,
Male,0329_e3,9.1,0,
Male,0329_e3,9.425,0,
Male,0329_e3,9.75,0,
Male,0329_e3,10.075,0,
Male,0329_e3,10.4,0,
Male,0329_e3,10.725,0,
Male,0329_e3,11.05,0,
Male,0329_e3,11.375,0,
Male,0329_e3,11.7,0,
Male,0329_e3,12.025,0,
Male,0329_e3,12.35,0,
Male,0329_e3,12.675,0,
Male,0329_e3,13,0,
Male,0329_e3,13.325,0,
Male,0329_e3,13.65,0,
Male,0329_e3,13.975,0,
Male,0329_e3,14.3,0,
Male,0329_e3,14.625,0,
Male,0329_e3,14.95,0,
Male,0329_e3,15.275,0,
Male,0329_e3,15.6,0,
Male,0329_e3,15.925,0,
Male,0329_e3,16.25,0,
Male,0329_e3,16.575,1.1591,AMPHIDAL NEURONS
Male,0329_e3,16.9,2.8977,
Male,0329_e3,17.225,3.4773,
Male,0329_e3,17.55,3.4773,
Male,0329_e3,17.875,4.0568,
Male,0329_e3,18.2,4.0568,
Male,0329_e3,18.525,4.0568,
Male,0329_e3,18.85,4.0568,
Male,0329_e3,19.175,3.4773,
Male,0329_e3,19.5,3.4773,
Male,0329_e3,19.825,0.5795,
Male,0329_e3,20.15,0,
Male,0329_e3,20.475,0,
