2L52.1a,WBGene00007063,NA
2L52.1b,WBGene00007063,NA
2RSSE.1a,WBGene00007064,rga-9
2RSSE.1b,WBGene00007064,rga-9
2RSSE.1c,WBGene00007064,rga-9
3R5.1a,WBGene00007065,pot-3
3R5.1b,WBGene00007065,pot-3
4R79.1a,WBGene00003525,nas-6
4R79.1b,WBGene00003525,nas-6
4R79.2a,WBGene00007067,NA
4R79.2b,WBGene00007067,NA
AC3.10,WBGene00004964,spe-10
AC3.12,WBGene00077503,NA
AC3.1a,WBGene00005532,sri-20
AC3.1b,WBGene00005532,sri-20
AC3.2,WBGene00007070,ugt-49
AC3.3,WBGene00000024,abu-1
AC3.4,WBGene00004098,pqn-2
AC3.5a,WBGene00007071,NA
AC3.5b,WBGene00007071,NA
AC3.6,WBGene00000724,col-151
AC3.7,WBGene00007072,ugt-1
AC3.8,WBGene00007073,ugt-2
AC7.1a,WBGene00006428,tkr-3
AC7.1b,WBGene00006428,tkr-3
AC7.2a,WBGene00004929,soc-2
AC7.2b,WBGene00004929,soc-2
AC7.2c,WBGene00004929,soc-2
AC7.2d,WBGene00004929,soc-2
AC7.3,WBGene00014997,NA
AC8.10,WBGene00043988,NA
AC8.11,WBGene00043989,NA
AC8.3,WBGene00007075,NA
AC8.4,WBGene00007076,NA
AH10.1,WBGene00007082,acs-10
AH10.2,WBGene00007083,NA
AH10.4,WBGene00007085,NA
AH6.1,WBGene00001528,gcy-1
AH6.10,WBGene00005032,sra-6
AH6.11,WBGene00005033,sra-7
AH6.12,WBGene00005034,sra-8
AH6.14,WBGene00005035,sra-9
AH6.17,WBGene00219290,NA
AH6.2,WBGene00007080,sfxn-1.1
AH6.3,WBGene00007081,NA
AH6.4,WBGene00005027,sra-1
AH6.5,WBGene00003231,mex-6
AH6.6,WBGene00005028,sra-2
AH6.7,WBGene00005029,sra-3
AH6.8,WBGene00005030,sra-4
AH9.1,WBGene00014998,NA
AH9.2,WBGene00000797,crn-4
AH9.3,WBGene00014999,NA
AH9.4,WBGene00015000,NA
AH9.6,WBGene00044701,NA
B0001.1a,WBGene00003010,lin-24
B0001.1b,WBGene00003010,lin-24
B0001.1c,WBGene00003010,lin-24
B0001.2,WBGene00007087,NA
B0001.3a,WBGene00007088,NA
B0001.3b,WBGene00007088,NA
B0001.3c,WBGene00007088,NA
B0001.4a,WBGene00007089,NA
B0001.4c,WBGene00007089,NA
B0001.5,WBGene00007090,NA
B0001.6,WBGene00007091,eri-12
B0001.7a,WBGene00007092,NA
B0001.7b,WBGene00007092,NA
B0001.7c,WBGene00007092,NA
B0001.8a,WBGene00007093,NA
B0001.8b,WBGene00007093,NA
B0001.8c,WBGene00007093,NA
B0001.8d,WBGene00007093,NA
B0019.1,WBGene00000138,amx-2
B0019.2,WBGene00007094,NA
B0024.1,WBGene00000722,col-149
B0024.10,WBGene00007100,asps-1
B0024.11,WBGene00007101,NA
B0024.12,WBGene00001646,gna-1
B0024.13,WBGene00007102,NA
B0024.14a,WBGene00007103,crm-1
B0024.14b,WBGene00007103,crm-1
B0024.14d,WBGene00007103,crm-1
B0024.14f,WBGene00007103,crm-1
B0024.15,WBGene00007104,NA
B0024.2,WBGene00000723,col-150
B0024.3,WBGene00007096,NA
B0024.4,WBGene00007097,NA
B0024.6a,WBGene00001533,gcy-6
B0024.6b,WBGene00001533,gcy-6
B0024.8a,WBGene00000491,che-12
B0024.8b,WBGene00000491,che-12
B0024.8c,WBGene00000491,che-12
B0024.8d,WBGene00000491,che-12
