gene_id,gene_name,Common_Name,Citation,URL,Review,URL,Note,Pub_locus,Other_Name
WBGene00229025,Bm8764,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s6,,,,Bm1_00425,TAG8764; Bm1_00425A; Bm1_00425
WBGene00224680,Bma-unc-73,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s7,,,,Bm1_00750,TAG4419; Bm1_00750A; Bm1_00750; TAG4418; Bm1_20920A; Bm1_20915A; TAG11404; Bm1_20915; Bm1_20920; TAG8509; Bm1_00755A; Bm1_00755
WBGene00228928,Bm8667,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s9,,,,Bm1_01480,TAG8667; Bm1_01480A; Bm1_01480
WBGene00222497,Bma-let-716,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s10,,,,Bm1_01745,TAG2236; Bm1_01745A; TAG11269; TAG12110; Bm1_23830A; Bm1_01745
WBGene00223659,Bm3398,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s11,,,,Bm1_01835,TAG3398; TAG12984; Bm1_01835A; TAG8117; Bm1_01835
WBGene00224971,Bma-unc-26,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s12,,,,Bm1_02165,Bm-unc-26; TAG4710; Bm1_02165A; Bm1_02165
WBGene00224146,Bma-isw-1,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s13,,,,Bm1_02485,Bm-isw-1; TAG3885; Bm1_02485A; Bm1_02485
WBGene00224510,Bma-mog-3,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s14,,,,Bm1_02520,TAG4249; Bm1_02520A; TAG7754; TAG7755; TAG7757; TAG8464; Bm1_02520
WBGene00226389,Bm6128,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s15,,,,Bm1_02770,TAG6128; Bm1_02770A; TAG554; Bm1_02770
WBGene00222719,Bma-dnc-2,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s16,,,,Bm1_02805,Bm-dnc-2; TAG2458; Bm1_02805A; Bm1_02805
WBGene00228755,Bma-unc-52,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s17,,,,Bm1_02995,TAG8494; Bm1_08985A; TAG11264; TAG11675; TAG11716; TAG12396; TAG14113; TAG1607; Bm-unc-52; TAG7346; Bm1_09895A; TAG7347; Bm1_02990A; Bm1_02995A; Bm1_11225A; Bm1_11675A; TAG7348; Bm1_53440A; TAG8038; Bm1_02990; Bm1_02995; Bm1_09895; Bm1_08985; Bm1_11675; Bm1_53440; Bm1_11225
WBGene00225463,Bm5202,,Bennuru,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000410#s18,,,,Bm1_03250,TAG5202; Bm1_03250A; Bm1_22465A; Bm1_03250; Bm1_22465
