gene_id,gene_name,Common_Name,Citation,URL,Review,URL,Note,Pub_locus,Other_Name
WBGene00234141,Bma-tpi-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s5,,,,Bm1_29130,Bm-tpi-1; TAG13880; Bm1_29130A; Bm1_29130
WBGene00226345,Bma-npa-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s6,,,,Bm1_51000,Bm-npa-1; TAG6084; Bm1_50995; Bm1_51000
WBGene00230892,Bm10631,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s7,,,,Bm1_11105,TAG10631; Bm1_11105A; 17DIII; 17DIII; Bm17D111; BmR1; Bm1_11105
WBGene00222412,Bm2151,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s8,,,,Bm1_40465,TAG2151; Bm1_40465
WBGene00230077,Bm9816,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s9,,,,Bm1_56305,TAG9816; Bm1_55695A; Bm1_56305A; TAG736; ES-62; ES-62; ES-62; ES-62; Bm1_56305; Bm1_55695
WBGene00227131,Bma-mif-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s10,,,,Bm1_28435,Bm-mif-1; TAG6870; Bm1_28435A; Bm1_28435
WBGene00224538,Bma-lec-2,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s11,,,,Bm1_24940,TAG4277; Bm1_24940A; TAG11256; Bma-lec-4; Bm1_24940
WBGene00234226,Bma-enol-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s12,,,,Bm1_24115,TAG13965; Bm1_24115A; Bm1_24115; Bma-enol-1.2
WBGene00224213,Bm3952,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s13,,,,Bm1_41005,TAG3952; Bm1_41005A; Bm1_41005
WBGene00225766,Bm5505,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s14,,,,Bm1_09950,TAG5505; Bm1_09950A; Bm1_09950
WBGene00227825,Bm7564,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s15,,,,Bm1_07780,TAG7564; Bm1_07780A; Bm1_07780; BmNIP-3
WBGene00225421,Bm5160,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s16,,,,Bm1_56600,TAG5160; Bm1_56600A; Bm-cpi-2; Bm-cpi-2; Bm1_56600
WBGene00233578,Bma-ipgm-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s17,,,,Bm1_04665,TAG13317; TAG4517; Bm1_04665A; Bm_iPGM; Bm1_04665
WBGene00227404,Bm7143,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s18,,,,Bm1_55850,TAG7143; Bm1_55850A; Bm1_55850
WBGene00234137,Bma-pyp-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s20,,,,Bm1_16955,Bm-pyp-1; TAG13876; Bm1_16955A; Bm1_16955
WBGene00229185,Bm8924,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s21,,,,Bm1_19875,TAG8924; Bm1_19875A; Bm1_23105A; Bm1_19875
WBGene00222771,Bm2510,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s22,,,,Bm1_46705,TAG2510; Bm1_46700A; trx-1; trx-1; Bm1_46705
WBGene00222065,Bm1804,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s23,,,,Bm1_07685,TAG1804; Bm1_07685A; Bm1_07685
WBGene00227379,Bma-ccg-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s24,,,,Bm1_38150,Bm-ccg-1; TAG7118; TAG1277; Bm1_38150
WBGene00224105,Bma-ttr-38.1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s25,,,,Bm1_15250,Bm-ttr-38; TAG3844; Bm1_15250A; Bm1_15250
WBGene00222945,Bm2684,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s26,,,,Bm1_26590,TAG2684; Bm1_26590A; Bm1_26590
