"gene_id","cluster"
"WBGene00268418",1
"WBGene00268352",2
"WBGene00226065",3
"WBGene00233037",3
"WBGene00224343",4
"WBGene00226430",3
"WBGene00221963",4
"WBGene00225012",5
"WBGene00268735",6
"WBGene00222042",7
"WBGene00226981",8
"WBGene00226295",9
"WBGene00234299",3
"WBGene00224015",10
"WBGene00223172",8
"WBGene00234610",11
"WBGene00231492",8
"WBGene00231518",12
"WBGene00226851",11
"WBGene00225498",8
"WBGene00224449",5
"WBGene00226051",6
"WBGene00234611",13
"WBGene00224132",6
"WBGene00233041",8
"WBGene00222374",13
"WBGene00226167",4
"WBGene00223178",3
"WBGene00234322",6
"WBGene00225298",14
"WBGene00224055",14
"WBGene00224891",5
"WBGene00224892",13
"WBGene00223651",12
"WBGene00227514",15
"WBGene00226180",16
"WBGene00224482",12
"WBGene00226791",5
"WBGene00233047",15
"WBGene00222104",5
"WBGene00222492",9
"WBGene00233049",14
"WBGene00233050",11
"WBGene00233052",12
"WBGene00233053",10
"WBGene00225067",17
"WBGene00226127",5
"WBGene00233931",13
"WBGene00222969",15
"WBGene00228932",5
"WBGene00227466",4
"WBGene00236674",11
"WBGene00225404",3
"WBGene00229847",18
"WBGene00227125",5
"WBGene00225937",5
"WBGene00226247",5
"WBGene00224760",9
"WBGene00227027",19
"WBGene00229849",5
"WBGene00225356",11
"WBGene00224122",11
"WBGene00227613",5
"WBGene00230461",20
"WBGene00234006",12
"WBGene00230459",4
"WBGene00226161",3
"WBGene00222353",15
"WBGene00222658",7
"WBGene00226354",11
"WBGene00234028",19
"WBGene00232384",20
"WBGene00231666",5
"WBGene00234273",10
"WBGene00224392",8
"WBGene00225710",18
"WBGene00229845",6
"WBGene00221971",12
"WBGene00228559",8
"WBGene00224191",11
"WBGene00224195",15
"WBGene00227440",10
"WBGene00226655",17
"WBGene00235013",1
"WBGene00222336",12
"WBGene00235014",11
"WBGene00227372",2
"WBGene00221967",9
"WBGene00232401",3
"WBGene00227861",15
"WBGene00231627",15
"WBGene00227221",3
"WBGene00223838",8
"WBGene00223839",4
"WBGene00229940",1
"WBGene00234123",15
"WBGene00222684",12
"WBGene00224786",7
"WBGene00229134",14
"WBGene00222655",15
"WBGene00223880",2
"WBGene00229133",7
"WBGene00224649",6
"WBGene00229132",12
"WBGene00268742",11
"WBGene00222756",8
"WBGene00233911",9
"WBGene00224540",13
"WBGene00268743",4
"WBGene00224847",5
"WBGene00225183",3
"WBGene00225182",8
"WBGene00225972",4
"WBGene00227601",5
"WBGene00226578",16
"WBGene00229007",10
"WBGene00221959",11
"WBGene00224893",9
"WBGene00234310",9
"WBGene00224243",11
"WBGene00226128",1
"WBGene00223943",15
"WBGene00234168",12
"WBGene00228921",2
"WBGene00225219",7
"WBGene00225895",3
"WBGene00230974",7
"WBGene00224138",20
"WBGene00228329",20
"WBGene00227297",15
"WBGene00227296",5
"WBGene00228328",5
"WBGene00229170",4
"WBGene00222956",10
"WBGene00223285",5
"WBGene00223883",5
"WBGene00222119",4
"WBGene00223516",17
"WBGene00224204",15
"WBGene00228686",3
"WBGene00228685",8
"WBGene00223879",5
"WBGene00224196",3
"WBGene00224133",13
"WBGene00225936",15
"WBGene00227306",2
"WBGene00229180",14
"WBGene00221960",6
"WBGene00221961",10
"WBGene00223800",5
"WBGene00229182",12
"WBGene00227848",9
"WBGene00229183",4
"WBGene00221443",12
"WBGene00234971",11
"WBGene00226600",19
"WBGene00220519",3
"WBGene00229184",11
"WBGene00225178",8
"WBGene00224331",10
"WBGene00227509",5
"WBGene00227511",8
"WBGene00226090",11
"WBGene00229185",5
"WBGene00231732",18
"WBGene00223906",1
"WBGene00231736",14
"WBGene00224006",16
"WBGene00222991",9
"WBGene00226983",2
"WBGene00224356",3
"WBGene00227910",15
"WBGene00229287",11
"WBGene00226397",17
"WBGene00228290",11
"WBGene00225020",16
"WBGene00226472",8
"WBGene00222976",19
"WBGene00229285",18
"WBGene00225439",9
"WBGene00255511",10
"WBGene00225027",15
"WBGene00229283",20
"WBGene00234221",15
"WBGene00221083",11
"WBGene00229271",11
"WBGene00227234",11
"WBGene00223846",2
"WBGene00226583",12
"WBGene00221968",3
"WBGene00224624",10
"WBGene00223550",5
"WBGene00231373",9
"WBGene00220980",9
"WBGene00231375",19
"WBGene00226384",4
"WBGene00228864",5
"WBGene00226169",5
"WBGene00225571",2
"WBGene00225509",6
"WBGene00225110",12
"WBGene00225111",16
"WBGene00225112",6
"WBGene00224391",11
"WBGene00222230",3
"WBGene00224584",8
"WBGene00224582",5
"WBGene00223098",11
"WBGene00227315",16
"WBGene00228084",10
"WBGene00221947",11
"WBGene00223842",6
"WBGene00234232",3
"WBGene00223023",4
"WBGene00226457",7
"WBGene00224502",5
"WBGene00223709",1
"WBGene00223912",11
"WBGene00223955",19
"WBGene00228278",5
"WBGene00225116",2
"WBGene00228279",5
"WBGene00221993",13
"WBGene00228282",8
"WBGene00228283",9
"WBGene00225113",1
"WBGene00226305",19
"WBGene00234220",12
"WBGene00226349",6
"WBGene00224137",12
"WBGene00222152",6
"WBGene00227498",11
"WBGene00228286",10
"WBGene00222523",20
"WBGene00234320",11
"WBGene00227046",13
"WBGene00228773",7
"WBGene00225014",14
"WBGene00224679",6
"WBGene00225678",5
"WBGene00222380",8
"WBGene00223104",9
"WBGene00229074",18
"WBGene00220515",17
"WBGene00225463",11
"WBGene00229176",14
"WBGene00227864",12
"WBGene00220516",12
"WBGene00223780",11
"WBGene00223779",11
"WBGene00226428",8
"WBGene00234498",3
"WBGene00230644",10
"WBGene00255379",4
"WBGene00223743",8
"WBGene00230643",3
"WBGene00223257",14
"WBGene00234270",17
"WBGene00227055",12
"WBGene00222594",6
"WBGene00227517",19
"WBGene00225835",5
"WBGene00224333",7
"WBGene00230640",20
"WBGene00222908",5
"WBGene00234169",3
"WBGene00230639",16
"WBGene00224805",15
"WBGene00224806",3
"WBGene00230637",20
"WBGene00233248",15
"WBGene00224038",5
"WBGene00223881",9
"WBGene00227455",17
"WBGene00233243",5
"WBGene00233242",9
"WBGene00233241",14
"WBGene00234179",3
"WBGene00222214",15
"WBGene00229305",16
"WBGene00234283",11
"WBGene00222619",14
"WBGene00226999",2
"WBGene00221454",9
"WBGene00229275",14
"WBGene00268776",11
"WBGene00220619",2
"WBGene00224787",1
"WBGene00222411",15
"WBGene00227217",10
"WBGene00234287",10
"WBGene00268777",2
"WBGene00229589",2
"WBGene00229588",12
"WBGene00224113",14
"WBGene00234178",8
"WBGene00227211",9
"WBGene00220615",8
"WBGene00224320",3
"WBGene00229586",5
"WBGene00226751",16
"WBGene00229584",11
"WBGene00226818",12
"WBGene00229583",10
"WBGene00229582",1
"WBGene00226437",19
"WBGene00226335",7
"WBGene00226761",12
"WBGene00222309",8
"WBGene00229708",20
"WBGene00229706",1
"WBGene00224088",4
"WBGene00229704",9
"WBGene00234020",5
"WBGene00229703",7
"WBGene00232399",14
"WBGene00220637",4
"WBGene00225456",3
"WBGene00227287",11
"WBGene00229702",4
"WBGene00228076",13
"WBGene00228074",14
"WBGene00224939",3
"WBGene00222775",8
"WBGene00234146",11
"WBGene00222935",5
"WBGene00226726",12
"WBGene00221464",12
"WBGene00227431",15
"WBGene00229353",4
"WBGene00234172",6
"WBGene00234301",5
"WBGene00226513",7
"WBGene00234350",5
