"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","protein_id","gene_name","TM_count","TM","prot.int.t20","prot.int.only","S07","S08","S09","S10","S11","S12","tm.int","mean.int.tpm","mean.nint.tpm","hid.ant"
"WBGene00220555",22537.3101360593,6.69361302580063,0.265387639685721,25.2220225242117,2.29705579318225e-140,1.87118164912626e-136,"yes","Bm294a","Bm294a","0","no","no","no",124552.207196154,1130.48247498037,162462.838117285,2733.64451499255,121998.963808158,2388.45080825814,"no",136338.003040532,2084.19259941035,"no"
"WBGene00226572",4829.1912213443,6.67830448052521,0.265205759955028,25.181596665388,6.37275634868253e-140,2.59562366081839e-136,"yes","Bm6311a","Bm6311a","0","no","no","no",6450.75844240313,59.8560433775259,4524.29256830001,85.894661102928,11064.3872890431,195.153877024949,"no",7346.47943324875,113.634860501801,"no"
"WBGene00269102",3127.96645067384,6.25717095603459,0.270772288733659,23.1086090282649,3.79344596620686e-118,1.03004702802403e-114,"yes","Bm17960","dsc-4.2","2","yes","no","no",5226.34620886266,68.0829599286738,7421.37015112416,190.792981415781,7204.12042639544,163.765563383825,"yes",6617.27892879409,140.880501576093,"yes"
"WBGene00234370",8423.62197049343,5.89901289684732,0.255941687374006,23.0482691482265,1.5308831879611e-117,3.11764361228279e-114,"yes","Bm14109","Bm14109","0","no","no","no",834.50112900039,11.0988317040252,953.915239708639,33.6143176466424,637.760094901077,21.0767756267177,"no",808.725487870035,21.9299749924618,"no"
"WBGene00268521",2730.05260583847,6.41853626747722,0.2790184964783,23.0039812718165,4.25263670325325e-117,6.9283957169402e-114,"yes","Bm17378","Bm17378","1","yes","yes","no",4007.99638621507,41.0122588921949,2199.44036615838,47.6712937100764,3521.63547522665,83.7938152015045,"yes",3243.0240758667,57.4924559345919,"yes"
"WBGene00225018",12494.8362633232,5.92089361424685,0.257727053361297,22.9735044770275,8.58042243526859e-117,1.1649353526283e-113,"yes","Bm4757","dsc-4.1","0","no","no","no",5749.1951389851,89.9374130503472,7865.17123288581,237.072945485861,7109.6806844006,226.653366553797,"no",6908.01568542384,184.554575030002,"no"
"WBGene00229218",3863.89765861481,6.32337525213003,0.284196184811153,22.2500356798663,1.12703067564662e-109,1.3115416976882e-106,"yes","Bm8957a","Bm8957a","10","yes","no","no",4877.10243741471,62.2232793628082,5332.57839071349,111.54401755999,7132.00387803529,170.92869706098,"yes",5780.56156872116,114.898664661259,"yes"
"WBGene00233064",53944.6791579276,5.61910937583877,0.259236864152523,21.6755799535237,3.48815052849804e-104,3.55180927564313e-101,"yes","Bm12803","cpl-1.1","1","yes","no","yes",90715.3364285733,1646.29034672416,42292.1510004785,2099.72284478857,109197.868248374,3395.48215345227,"yes",80735.118559142,2380.49844832167,"yes"
"WBGene00225525",8410.26343945116,6.07455739555725,0.281174341596988,21.6042380007206,1.63869924001613e-103,1.48320488990794e-100,"yes","Bm5264","glo-1","0","no","no","no",15048.3742599048,222.029549502057,24447.5388960029,591.149369714738,15797.7834811898,484.062491801376,"no",18431.2322123658,432.413803672724,"no"
"WBGene00225966",2064.98112459569,5.74604958976518,0.276129406487508,20.8092635364612,3.56783407488902e-96,2.9063576374046e-93,"yes","Bm5705","Bm5705","0","no","no","no",4346.7295521087,82.2618380821107,3045.26567157473,113.590088067876,3785.87475011983,117.150053941112,"no",3725.95665793442,104.3339933637,"no"
