"gene_id","protein_id","gene_name","TM","Pharynx_1","NPharynx_1","NPharynx_2","Pharynx_2","NPharynx_3","Pharynx_3","mean.pharynx.tpm","mean.npharynx.tpm","high.pharynx","ph.enrch","prioritize"
"WBGene00268435","Bm17292","Bm17292","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268436","Bm17293","Bm17293","2",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268437","Bm17294a","Bm17294a","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00269604",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00269605",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00269606",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268306","Bm17163","Bm17163","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00269607",NA,NA,NA,0,0,0,0,1.12051692142322,0,0,0.373505640474405,"no",0.728063992263332,"no"
"WBGene00269608",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00234803",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00269609",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268307","Bm17164","Bm17164","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00236064",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00236069",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00236063",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00236066",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00236062",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00235749",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268418","Bm17275","Bm17275","1",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268445","Bm17302","Bm17302","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268352","Bm17209","Bm17209","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268353","Bm17210","Bm17210","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268354","Bm17211","Bm17211","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268446","Bm17303","Bm17303","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00221383","Bm1122","Bm1122","1",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268274","Bm17130","Bm17130","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00228675","Bm8414a","Bm8414a","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00228674","Bm8413","Bm8413","2",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00228673","Bm8412a","Bm8412a","1",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00228672","Bm8411","Bm8411","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00233616","Bm13355","Bm13355","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00228668","Bm8407a","Bm8407a","2",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268276","Bm17132","Bm17132","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00228669","Bm8408","Bm8408","0",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00224507","Bm4246","Bm4246","0",0,0,0,0,0,6.87104364529173,2.29034788176391,0,"no",3.29034788176391,"no"
"WBGene00228670","Bm8409","Bm8409","1",0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00235828",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00235825",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00235446",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00235826",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00235824",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00268733","Bm17590","Bm17590","0",108.240232628567,0.638717536641945,0,203.502950671608,19.8143770612878,145.185652717267,152.309612005814,6.81769819930991,"no",19.6105820533398,"no"
"WBGene00235533",NA,NA,NA,0,0,0,0,0,0,0,0,"no",1,"no"
"WBGene00226065","Bm5804","Bma-dmsr-2","5",0,0,0,0.692681164455143,0.233186824543004,2.16426097478235,0.952314046412498,0.0777289415143348,"no",1.81150748690971,"no"
"WBGene00268734","Bm17591","Bm17591","0",0,0,0,2.99346918913556,0,0,0.997823063045187,0,"no",1.99782306304519,"no"
"WBGene00233037","Bm12776","Bm12776","0",0,0,0,13.7125983813695,1.15406533224427,5.35557393909465,6.35605744015471,0.384688444081423,"no",5.31242784006519,"no"
"WBGene00227546","Bm7285","Bma-let-630","0",0,0,0,9.51031221881448,0.933796416953488,3.714334720175,4.40821564632983,0.311265472317829,"no",4.12442465732749,"no"
"WBGene00224343","Bm4082","Bm4082","0",14.4988630514598,0,0,10.0466308952617,2.00814329542696,1.96189930974238,8.83579775215462,0.669381098475654,"no",5.89188278286839,"no"
"WBGene00226430","Bm6169a","Bma-snf-1","13",13.4837269983476,0.965863942844451,0,11.3989617987201,2.03861338478159,16.3238648986695,13.7355178985791,1.00149244254201,"no",7.36226507049114,"no"
"WBGene00221963","Bm1702a","Bma-xnp-1","0",31.5098784047856,0.770064793537935,0,99.4037056482199,8.78721533032908,55.4135157732918,62.1090332754324,3.18576004128901,"no",15.0770786315782,"no"
"WBGene00225012","Bm4751","Bma-axl-1","0",11.6624070464654,77.7778640296424,0,22.7283142558429,2.29540387432263,10.2575659653943,14.8827624225675,26.6910893013217,"no",0.573569434186522,"no"
"WBGene00268735","Bm17592","Bm17592","0",0,0,0,4.20698823580289,1.18021378129083,4.38153507815704,2.86284110465331,0.393404593763611,"no",2.77223221592783,"no"
"WBGene00233039","Bm12778","Bm12778","2",0,0,0,3.31884627491116,0,0,1.10628209163705,0,"no",2.10628209163705,"no"
"WBGene00227415","Bm7154a","Bma-clp-1","0",33.5871396667419,0,0,40.7284205153189,6.20258191693596,26.511395023509,33.6089850685232,2.06752730564532,"no",11.2823722888564,"no"
"WBGene00221870","Bm1609a","Bm1609a","0",0,0,0,6.13393909738046,1.37663507489138,0,2.04464636579349,0.458878358297126,"no",2.08697753892747,"no"
"WBGene00222042","Bm1781","Bm1781","0",0,6.51703986840073,0,7.72671085512848,0.650287340311406,4.526600663832,4.08443717298683,2.38910906957071,"no",1.50022825132354,"no"
"WBGene00226981","Bm6720","Bm6720","11",0,31.9695729616843,0,16.0168136365708,1.88718639397594,8.75770720028207,8.25817361228427,11.2855864518867,"no",0.753580111827911,"no"
"WBGene00226295","Bm6034a","Bma-usp-5","0",25.8029875711304,146.999366775749,0,26.4677464957687,3.66172724163635,14.1605580720204,22.1437640463065,50.2203646724618,"no",0.45184692054232,"no"
"WBGene00234299","Bm14038a","Bma-hint-1","0",0,482.372011422208,0,1.44388646260322,5.10379208093399,2.2556894018381,1.23319195481377,162.491934501047,"no",0.0136593402092228,"no"
"WBGene00224015","Bm3754","Bma-cpz-1","1",9.14593388777356,867.718212773059,0,45.3901034656968,8.74920245806925,30.8801571500994,28.4720648345233,292.155805077043,"no",0.100533792352425,"no"
"WBGene00222656","Bm2395","Bma-dcp-66","0",11.3018203774381,0,0,14.0902673669683,1.524664688863,5.24102459905541,10.2110374478206,0.508221562954333,"no",7.43328283005065,"no"
"WBGene00223172","Bm2911","Bma-ptr-21","12",17.8701448943566,0,0,24.6116690049592,1.65707319224834,12.5833748986173,18.3550629326444,0.552357730749448,"no",12.4681718325969,"no"
"WBGene00234610","Bm14349","Bm14349","0",0,97.441222709434,0,0,1085.73784251433,0,0,394.393021741255,"no",0.00252912910702405,"no"
"WBGene00231492","Bm11231","Bma-hum-7","0",5.39069251284274,1.47671338634529,0,4.86898193735971,202.32796375244,4.37373295063255,4.877802466945,67.9348923795953,"no",0.0852659990325136,"no"
"WBGene00231518","Bm11257","Bm11257","1",9.16110614000326,1.95364282267571,0,10.648929708973,1.19496541412399,7.30981317185525,9.03994967361052,1.04953607893323,"no",4.89864500401292,"no"
"WBGene00226306","Bm6045a","Bm6045a","0",0,0,0,41.9834053776262,65.5278295648296,11.9250779710508,17.969494449559,21.8426098549432,"no",0.83044339372867,"no"
